2025-02-28 16:00:25,856 - Indicator: RSI, Entry Time: 2025-02-23 10:36:00, Entry Price: $96,171.86, Exit Time: 2025-02-23 11:20:00, Exit Price: $96,226.42, RSI Prev: 70.77, RSI Entry: 11.02, RSI Exit: 60.09, Profit/Loss: 0.06%
2025-02-28 16:00:25,962 - Indicator: RSI, Entry Time: 2025-02-23 11:41:00, Entry Price: $96,141.28, Exit Time: 2025-02-23 13:07:00, Exit Price: $95,929.65, RSI Prev: 71.41, RSI Entry: 25.54, RSI Exit: 69.65, Profit/Loss: -0.22%
2025-02-28 16:00:26,191 - Indicator: RSI, Entry Time: 2025-02-23 14:41:00, Entry Price: $95,825.99, Exit Time: 2025-02-23 17:40:00, Exit Price: $95,478.73, RSI Prev: 79.26, RSI Entry: 29.79, RSI Exit: 63.92, Profit/Loss: -0.36%
2025-02-28 16:00:26,355 - Indicator: RSI, Entry Time: 2025-02-23 19:49:00, Entry Price: $95,739.10, Exit Time: 2025-02-23 21:00:00, Exit Price: $95,765.68, RSI Prev: 73.26, RSI Entry: 29.42, RSI Exit: 58.54, Profit/Loss: 0.03%
2025-02-28 16:00:26,395 - Indicator: RSI, Entry Time: 2025-02-23 21:16:00, Entry Price: $95,742.65, Exit Time: 2025-02-23 21:56:00, Exit Price: $95,748.52, RSI Prev: 81.68, RSI Entry: 29.10, RSI Exit: 69.80, Profit/Loss: 0.01%
2025-02-28 16:00:26,437 - Indicator: RSI, Entry Time: 2025-02-23 22:25:00, Entry Price: $95,604.84, Exit Time: 2025-02-23 22:53:00, Exit Price: $95,901.33, RSI Prev: 76.65, RSI Entry: 24.34, RSI Exit: 69.89, Profit/Loss: 0.31%
2025-02-28 16:00:26,763 - Indicator: RSI, Entry Time: 2025-02-24 01:42:00, Entry Price: $95,880.00, Exit Time: 2025-02-24 05:18:00, Exit Price: $95,522.00, RSI Prev: 70.94, RSI Entry: 27.14, RSI Exit: 66.01, Profit/Loss: -0.37%
2025-02-28 16:00:27,015 - Indicator: RSI, Entry Time: 2025-02-24 08:32:00, Entry Price: $95,462.49, Exit Time: 2025-02-24 09:35:00, Exit Price: $96,053.83, RSI Prev: 71.38, RSI Entry: 26.02, RSI Exit: 69.66, Profit/Loss: 0.62%
2025-02-28 16:00:27,110 - Indicator: RSI, Entry Time: 2025-02-24 09:50:00, Entry Price: $95,630.00, Exit Time: 2025-02-24 11:43:00, Exit Price: $95,778.86, RSI Prev: 72.45, RSI Entry: 25.87, RSI Exit: 66.08, Profit/Loss: 0.16%
2025-02-28 16:00:27,288 - Indicator: RSI, Entry Time: 2025-02-24 13:06:00, Entry Price: $95,514.80, Exit Time: 2025-02-24 16:14:00, Exit Price: $94,726.87, RSI Prev: 70.92, RSI Entry: 28.84, RSI Exit: 64.03, Profit/Loss: -0.82%
2025-02-28 16:00:28,104 - Indicator: RSI, Entry Time: 2025-02-24 18:48:00, Entry Price: $94,335.36, Exit Time: 2025-02-24 21:34:00, Exit Price: $94,267.55, RSI Prev: 70.20, RSI Entry: 29.80, RSI Exit: 64.66, Profit/Loss: -0.07%
